Company Name,Funding Type,LinkedIn Company URL,Website URL
Ask Sage,Series A,https://www.linkedin.com/company/ask-sage,https://www.asksage.ai/
Friend,Seed,https://www.linkedin.com/company/frienddotcom,https://www.friend.com/
Apolo,Seed,https://www.linkedin.com/company/theapolo/,https://www.apolo.us/
Wanda,PE,https://www.linkedin.com/company/wanda-inc-,https://www.wandahealth.com/
Z-Score Health,Grant,https://www.linkedin.com/company/z-score-health/,http://zscorehealth.com/
Luma AI,Series B,https://www.linkedin.com/company/luma-ai,https://lumalabs.ai/
Deep Infra,recent funding,https://www.linkedin.com/company/deep-infra/,https://deepinfra.com/
Nowadays,Seed,https://www.linkedin.com/company/getnowadays,https://www.getnowadays.com/
Invisible Hand,Pre-Seed,https://www.linkedin.com/company/invisiblehand-tech/,https://www.invisiblehand.tech/
CodeIntegrity,Pre-Seed,https://www.linkedin.com/company/codeintegrity/,https://codeintegrity.ai/
Lunge Systems,PE,https://www.linkedin.com/company/lunge-ai/,https://www.lunge.ai/
AMP,Series D,https://www.linkedin.com/company/amp-sortation,https://ampsortation.com/
Trust Stamp,post-IPO equity,https://www.linkedin.com/company/10373549,https://www.truststamp.ai/
Tractian,Series C,https://www.linkedin.com/company/get-tractian,https://tractian.com/
Nectir,Seed,https://www.linkedin.com/company/nectirchat/,https://www.nectir.io/
EcoMap Technologies,recent funding,https://www.linkedin.com/company/ecomaptechnologies,https://www.ecomap.tech/
Stella Automotive AI,Convertible Note,https://www.linkedin.com/company/stella-automotive-ai/,https://www.stellaautomotive.com/
Ethyca,Series A,https://www.linkedin.com/company/ethyca,https://ethyca.com/
Scalestack,Seed,https://www.linkedin.com/company/scalestackhq/,https://scalestack.ai/
Across AI,Seed,https://www.linkedin.com/company/across-ai,https://www.across.ai/
FutureSearch,recent funding,https://www.linkedin.com/company/varunaai,https://futuresearch.ai/
AI or Not,recent funding,https://www.linkedin.com/company/ai-or-not/,https://www.aiornot.com/
Sightglass,Seed,https://www.linkedin.com/company/sightglass-insights,https://www.usesightglass.xyz/
Scalytics,Angel,https://www.linkedin.com/company/scalytics,https://www.scalytics.io/
Cleerly,Series C,https://www.linkedin.com/company/cleerlyhealth/,https://cleerlyhealth.com/
Enterpret,Series A,https://www.linkedin.com/company/enterpret,https://www.enterpret.com/
HappyRobot,Series A,https://www.linkedin.com/company/happyrobot/,https://happyrobot.ai/
HYBRD,Pre-Seed,https://www.linkedin.com/company/hybrd-do-hard-things/,https://www.hybrd.app/
Asha Health,Pre-Seed,https://www.linkedin.com/company/asha-health-ai/,https://asha.health/
PearAI,Pre-Seed,https://www.linkedin.com/company/trypearai/,
Sphinx,Seed,https://www.linkedin.com/company/sphinx-hq/,https://sphinxlabs.ai/
Bramble,Pre-Seed,https://www.linkedin.com/company/usebramble/,https://usebramble.com/
Helpcare AI,Pre-Seed,https://www.linkedin.com/company/helpcare-ai/,https://www.helpcare.ai/
Replexica,Pre-Seed,https://linkedin.com/company/replexica,https://replexica.com/
Forerunner,Pre-Seed,https://www.linkedin.com/company/tryforerunner/,https://tryforerunner.com/
SRE.ai,Pre-Seed,https://www.linkedin.com/company/sreai,https://sre.ai/
Raycaster,Pre-Seed,https://www.linkedin.com/company/raycasterai?trk=profile-position,https://raycaster.ai/
CollectWise,Pre-Seed,https://www.linkedin.com/company/trycollectwise/,https://collectwise.com/
ArchiLabs,Pre-Seed,https://www.linkedin.com/company/archilabs-ai/,https://archilabs.ai/
Lightscreen AI,Seed,https://www.linkedin.com/company/lightscreen-ai/,https://lightscreen.ai/
Innate,Pre-Seed,https://www.linkedin.com/company/innate-bot/,https://innate.bot/
